"","run.code","run.cor","n.Rcrowd","n.Rdisplace","prop.Rcrowd","prop.Rdisplace","n.Rcrowd.dyads","n.Rdisplace.dyads","Rcrowd.density","Rdisplace.density","Rcrowd.linearity","Rcrowd.steepness","Rcrowd.prunk.pu","Rcrowd.prunk.dyads","Rcrowd.transi.Pt","Rcrowd.transi.ttri","Rdisp.linearity","Rdisp.steepness","Rdisp.prunk.pu","Rdisp.prunk.dyads","Rdisp.transi.Pt","Rdisp.transi.ttri"
"Pt14","run015",0.152595171941941,631,584,0.519341563786008,0.480658436213992,159,134,0.378571428571429,0.319047619047619,0.4331,0.319854051105573,0.295,210,0.948,0.791,0.3091,0.2324476263704,0.424,210,0.914,0.656
"Pt15","run016",0.0461548609499801,573,642,0.471604938271605,0.528395061728395,145,137,0.345238095238095,0.326190476190476,0.3552,0.288753881525737,0.371,210,0.931,0.724,0.3558,0.232134917858313,0.414,210,0.935,0.738
"Pt16","run017",0.0532912970711127,696,519,0.57283950617284,0.42716049382716,142,144,0.338095238095238,0.342857142857143,0.3422,0.283464121881552,0.376,210,0.939,0.755,0.3688,0.258736714944507,0.371,210,0.922,0.688
"Pt17","run018",0.0566783770694894,662,553,0.544855967078189,0.455144032921811,146,135,0.347619047619048,0.321428571428571,0.3513,0.293194885618912,0.357,210,0.924,0.697,0.3221,0.215496295376687,0.424,210,0.909,0.635
"Pt18","run019",0.0845618415589667,587,628,0.483127572016461,0.516872427983539,139,145,0.330952380952381,0.345238095238095,0.3714,0.248752383838327,0.405,210,0.953,0.813,0.3494,0.287185794431541,0.371,210,0.939,0.757
"Pt19","run020",0.0418012776245754,685,530,0.563786008230453,0.436213991769547,148,135,0.352380952380952,0.321428571428571,0.3669,0.292693814637228,0.348,210,0.925,0.702,0.3474,0.232305989259143,0.424,210,0.939,0.758
"Pt20","run021",0.0454162106323062,532,683,0.437860082304527,0.562139917695473,139,149,0.330952380952381,0.354761904761905,0.374,0.226682292776872,0.414,210,0.965,0.859,0.4097,0.301098240051853,0.348,210,0.951,0.803
"Pt21","run022",0.104482878614693,630,585,0.518518518518518,0.481481481481481,151,139,0.35952380952381,0.330952380952381,0.3844,0.279659106311472,0.357,210,0.944,0.778,0.3494,0.256983985014871,0.395,210,0.929,0.718
"Pt22","run023",-0.0568930609593887,543,672,0.446913580246914,0.553086419753086,131,143,0.311904761904762,0.34047619047619,0.3695,0.254697290707769,0.41,210,0.953,0.813,0.3669,0.270730964509328,0.371,210,0.921,0.685
"Pt23","run024",0.102700623156289,719,496,0.591769547325103,0.408230452674897,148,135,0.352380952380952,0.321428571428571,0.3662,0.261023074318333,0.381,210,0.922,0.687,0.3792,0.274667703320662,0.39,210,0.964,0.857
"Pt24","run025",0.121184084696346,627,588,0.516049382716049,0.483950617283951,139,145,0.330952380952381,0.345238095238095,0.2643,0.233906290738414,0.395,210,0.876,0.503,0.4844,0.293154682238905,0.362,210,0.981,0.926
"Pt25","run026",0.120986172816765,612,603,0.503703703703704,0.496296296296296,131,151,0.311904761904762,0.35952380952381,0.3864,0.240960672325472,0.433,210,0.969,0.875,0.3416,0.281546559921071,0.362,210,0.932,0.729
"Pt26","run027",0.209702736694882,562,653,0.462551440329218,0.537448559670782,149,140,0.354761904761905,0.333333333333333,0.3688,0.281094127140239,0.357,210,0.932,0.726,0.3429,0.27112151860449,0.395,210,0.94,0.758
"Pt27","run028",0.0571655853293619,528,687,0.434567901234568,0.565432098765432,132,148,0.314285714285714,0.352380952380952,0.2662,0.215878604034489,0.438,210,0.879,0.518,0.4123,0.314399986113226,0.352,210,0.953,0.813
"Pt28","run029",0.092385180239129,556,659,0.45761316872428,0.54238683127572,140,145,0.333333333333333,0.345238095238095,0.4045,0.274746898674945,0.386,210,0.956,0.825,0.3981,0.262372907983104,0.39,210,0.973,0.892
"Pt29","run030",-0.0351447101434176,654,561,0.538271604938272,0.461728395061728,142,137,0.338095238095238,0.326190476190476,0.3532,0.260514448466147,0.376,210,0.925,0.7,0.3584,0.251802831291428,0.4,210,0.944,0.776
"Pt30","run031",0.0579518187212408,534,681,0.439506172839506,0.560493827160494,144,140,0.342857142857143,0.333333333333333,0.3656,0.257762345862979,0.381,210,0.955,0.819,0.3883,0.271289705728074,0.4,210,0.938,0.75
"Pt31","run032",0.00157775195349493,515,700,0.423868312757202,0.576131687242798,140,138,0.333333333333333,0.328571428571429,0.3688,0.249750469673939,0.4,210,0.958,0.834,0.3234,0.256851624018378,0.405,210,0.928,0.713
"Pt32","run033",0.207402771157548,591,624,0.48641975308642,0.51358024691358,147,148,0.35,0.352380952380952,0.3825,0.277553412974845,0.357,210,0.945,0.78,0.3844,0.284600728558329,0.357,210,0.953,0.813
"Pt33","run034",0.0231714834129194,617,598,0.507818930041152,0.492181069958848,143,139,0.34047619047619,0.330952380952381,0.3636,0.260234092948183,0.386,210,0.943,0.774,0.3338,0.249889369456543,0.405,210,0.957,0.829
"Pt34","run035",0.102665228822444,570,645,0.469135802469136,0.530864197530864,145,140,0.345238095238095,0.333333333333333,0.3662,0.273733791471026,0.376,210,0.932,0.729,0.3877,0.268048128560297,0.405,210,0.974,0.896
"Pt35","run036",0.176857628511533,623,592,0.512757201646091,0.487242798353909,141,153,0.335714285714286,0.364285714285714,0.3929,0.284979681955101,0.386,210,0.97,0.88,0.4175,0.275231072767259,0.357,210,0.957,0.829
"Pt36","run037",0.0335900507427826,606,609,0.498765432098765,0.501234567901235,146,129,0.347619047619048,0.307142857142857,0.3688,0.262505901995502,0.376,210,0.92,0.679,0.3526,0.231539886845463,0.443,210,0.955,0.82
"Pt37","run038",0.120005179996446,637,578,0.524279835390946,0.475720164609053,153,140,0.364285714285714,0.333333333333333,0.3331,0.272814814667896,0.362,210,0.94,0.759,0.411,0.27154856054301,0.376,210,0.948,0.792
"Pt38","run039",0.0388563675168894,520,695,0.42798353909465,0.57201646090535,144,142,0.342857142857143,0.338095238095238,0.3195,0.249418906687704,0.386,210,0.915,0.658,0.4364,0.286114015280637,0.371,210,0.974,0.896
"Pt39","run040",0.15519524968141,703,512,0.578600823045267,0.421399176954733,149,138,0.354761904761905,0.328571428571429,0.4065,0.287569299701959,0.352,210,0.942,0.769,0.3623,0.261230695974282,0.405,210,0.939,0.757
"Pt40","run041",0.153808049711667,602,613,0.495473251028807,0.504526748971193,147,147,0.35,0.35,0.3448,0.293224850773523,0.362,210,0.931,0.722,0.4136,0.280737388795111,0.367,210,0.969,0.875
"Pt41","run042",0.146135691518309,565,650,0.465020576131687,0.534979423868313,146,143,0.347619047619048,0.34047619047619,0.3468,0.248939062953377,0.4,210,0.939,0.757,0.3981,0.2787605908931,0.376,210,0.954,0.814
"Pt42","run043",0.162113098481567,632,583,0.520164609053498,0.479835390946502,142,152,0.338095238095238,0.361904761904762,0.376,0.295449735257931,0.367,210,0.945,0.779,0.361,0.27576177706704,0.348,210,0.927,0.709
"Pt43","run044",0.112714874903724,645,570,0.530864197530864,0.469135802469136,144,144,0.342857142857143,0.342857142857143,0.3487,0.265735057999288,0.395,210,0.961,0.843,0.3961,0.277669884504941,0.371,210,0.942,0.767
"Pt44","run045",0.0200526848302273,572,643,0.470781893004115,0.529218106995885,155,127,0.369047619047619,0.302380952380952,0.3857,0.293529797476632,0.343,210,0.955,0.822,0.2987,0.223306767073521,0.462,210,0.952,0.806
"Pt45","run046",0.107444055394062,590,625,0.48559670781893,0.51440329218107,144,142,0.342857142857143,0.338095238095238,0.3409,0.255809215863745,0.395,210,0.944,0.776,0.3831,0.267018449209235,0.371,210,0.931,0.723
"Pt46","run047",0.0850301164652675,558,657,0.459259259259259,0.540740740740741,150,135,0.357142857142857,0.321428571428571,0.3487,0.258821040787802,0.357,210,0.92,0.679,0.3584,0.262030112743297,0.414,210,0.957,0.829
"Pt47","run048",0.0554132176904893,526,689,0.432921810699588,0.567078189300412,137,141,0.326190476190476,0.335714285714286,0.376,0.250736751692206,0.414,210,0.955,0.819,0.3851,0.267115739559578,0.381,210,0.962,0.849
"Pt48","run049",0.00933695292298273,682,533,0.561316872427984,0.438683127572016,137,139,0.326190476190476,0.330952380952381,0.3487,0.248682415140044,0.41,210,0.939,0.754,0.3805,0.264221510804586,0.39,210,0.949,0.797
"Pt49","run050",0.108897374889608,571,644,0.469958847736625,0.530041152263374,137,154,0.326190476190476,0.366666666666667,0.3779,0.254740978423159,0.395,210,0.93,0.719,0.3597,0.284776203960774,0.348,210,0.917,0.667
"Pt50","run051",0.0720382395718518,593,622,0.488065843621399,0.511934156378601,149,142,0.354761904761905,0.338095238095238,0.4325,0.278662967347742,0.362,210,0.96,0.838,0.3292,0.266234304953631,0.381,210,0.942,0.768
"Pt51","run052",-0.00458747408858296,597,618,0.491358024691358,0.508641975308642,143,145,0.34047619047619,0.345238095238095,0.3877,0.263972139792195,0.386,210,0.953,0.813,0.3682,0.248063121010537,0.376,210,0.933,0.731
"Pt52","run053",0.125085192145828,599,616,0.493004115226337,0.506995884773663,142,145,0.338095238095238,0.345238095238095,0.3961,0.290942164911012,0.362,210,0.944,0.776,0.3922,0.262494853599893,0.386,210,0.944,0.775
"Pt53","run054",0.108009396802891,648,567,0.533333333333333,0.466666666666667,142,144,0.338095238095238,0.342857142857143,0.3851,0.270982980859931,0.39,210,0.97,0.879,0.3208,0.248299066624601,0.39,210,0.934,0.737
"Pt54","run055",0.0549806069138285,520,695,0.42798353909465,0.57201646090535,135,148,0.321428571428571,0.352380952380952,0.3078,0.219710892096207,0.424,210,0.91,0.641,0.4117,0.294644355562724,0.352,210,0.949,0.797
"Pt55","run056",0.0654241335438347,546,669,0.449382716049383,0.550617283950617,136,146,0.323809523809524,0.347619047619048,0.3403,0.231689234366135,0.424,210,0.929,0.716,0.3649,0.292000972011363,0.357,210,0.942,0.769
"Pt56","run057",0.136472536791478,610,605,0.502057613168724,0.497942386831276,145,145,0.345238095238095,0.345238095238095,0.3688,0.268652936527215,0.362,210,0.9,0.6,0.3435,0.267052911004378,0.381,210,0.95,0.798
"Pt57","run058",-0.0454946605669082,535,680,0.440329218106996,0.559670781893004,140,135,0.333333333333333,0.321428571428571,0.3474,0.270696961158135,0.386,210,0.963,0.851,0.3487,0.231188086737227,0.429,210,0.945,0.78
"Pt58","run059",0.12600722508292,601,614,0.494650205761317,0.505349794238683,144,145,0.342857142857143,0.345238095238095,0.3591,0.268914837648952,0.381,210,0.936,0.744,0.3838,0.283633032405655,0.367,210,0.95,0.801
"Pt59","run060",0.0698145797053986,641,574,0.527572016460905,0.472427983539095,144,144,0.342857142857143,0.342857142857143,0.3338,0.281487273003564,0.381,210,0.94,0.759,0.3844,0.235938806773416,0.381,210,0.937,0.748
"Pt60","run061",0.0316656560142382,655,560,0.539094650205761,0.460905349794239,147,139,0.35,0.330952380952381,0.3916,0.29546658728599,0.362,210,0.941,0.762,0.3305,0.234664234857209,0.405,210,0.945,0.781
"Pt61","run062",0.0347138771098349,568,647,0.467489711934156,0.532510288065844,143,139,0.34047619047619,0.330952380952381,0.3078,0.243864032035482,0.395,210,0.916,0.664,0.3792,0.279794376910424,0.371,210,0.923,0.694
"Pt62","run063",0.0858712537994175,660,555,0.54320987654321,0.45679012345679,145,137,0.345238095238095,0.326190476190476,0.4117,0.286587350994386,0.348,210,0.93,0.721,0.3435,0.245904908256603,0.405,210,0.943,0.772
"Pt63","run064",-0.0334565789072115,607,608,0.499588477366255,0.500411522633745,137,137,0.326190476190476,0.326190476190476,0.3526,0.248281389601114,0.405,210,0.955,0.82,0.35,0.25316779779786,0.4,210,0.923,0.69
"Pt64","run065",0.129645642174972,687,528,0.565432098765432,0.434567901234568,149,143,0.354761904761905,0.34047619047619,0.4344,0.315290165137456,0.343,210,0.962,0.847,0.3266,0.24133732273459,0.395,210,0.93,0.721
"Pt65","run066",0.190112908852085,536,679,0.441152263374486,0.558847736625514,147,147,0.35,0.35,0.3617,0.27994216623931,0.371,210,0.942,0.767,0.3727,0.281884886043793,0.362,210,0.946,0.784
"Pt66","run067",0.0823355820120543,611,604,0.502880658436214,0.497119341563786,143,142,0.34047619047619,0.338095238095238,0.35,0.259418630733662,0.386,210,0.931,0.723,0.4344,0.271930955608146,0.395,210,0.975,0.899
"Pt67","run068",0.0121646735282568,655,560,0.539094650205761,0.460905349794239,138,144,0.328571428571429,0.342857142857143,0.3753,0.257583088004007,0.395,210,0.955,0.821,0.324,0.237385484370915,0.4,210,0.941,0.763
"Pt68","run069",0.0487138091586747,637,578,0.524279835390946,0.475720164609053,149,135,0.354761904761905,0.321428571428571,0.4409,0.28816653288941,0.357,210,0.97,0.879,0.2864,0.224580367009631,0.419,210,0.909,0.638
"Pt69","run070",0.0811953827712668,523,692,0.430452674897119,0.569547325102881,143,143,0.34047619047619,0.34047619047619,0.3805,0.274193718727883,0.371,210,0.945,0.778,0.3519,0.2638475973888,0.381,210,0.934,0.735
"Pt70","run071",0.0922613402328323,659,556,0.54238683127572,0.45761316872428,136,148,0.323809523809524,0.352380952380952,0.3442,0.251743829685492,0.414,210,0.949,0.795,0.4351,0.289232657064534,0.343,210,0.939,0.755
"Pt71","run072",0.183039119412368,592,623,0.487242798353909,0.512757201646091,134,153,0.319047619047619,0.364285714285714,0.3909,0.255513132114222,0.414,210,0.966,0.863,0.3818,0.297568316754728,0.333,210,0.939,0.756
"Pt72","run073",0.0607168995948121,575,640,0.473251028806584,0.526748971193416,149,133,0.354761904761905,0.316666666666667,0.3942,0.266569011738239,0.371,210,0.947,0.788,0.3396,0.25197566299783,0.405,210,0.94,0.761
"Pt73","run074",0.109105496136713,580,635,0.477366255144033,0.522633744855967,144,143,0.342857142857143,0.34047619047619,0.3942,0.258955680048967,0.4,210,0.946,0.784,0.3714,0.267993505600422,0.381,210,0.936,0.743
"Pt74","run075",0.00796447820959987,649,566,0.534156378600823,0.465843621399177,139,134,0.330952380952381,0.319047619047619,0.3935,0.258220628287269,0.41,210,0.968,0.874,0.3065,0.23430793870261,0.419,210,0.925,0.7
"Pt75","run076",0.106051291715889,705,510,0.580246913580247,0.419753086419753,134,149,0.319047619047619,0.354761904761905,0.3468,0.24339598911344,0.424,210,0.909,0.635,0.4448,0.282758980609166,0.357,210,0.958,0.833
"Pt76","run077",-0.0175920276627639,605,610,0.497942386831276,0.502057613168724,146,129,0.347619047619048,0.307142857142857,0.3623,0.262620923802527,0.386,210,0.947,0.788,0.3591,0.241306915997656,0.438,210,0.98,0.92
"Pt77","run078",0.0378566483576642,596,619,0.490534979423868,0.509465020576132,134,147,0.319047619047619,0.35,0.3247,0.229994991630389,0.424,210,0.953,0.812,0.3766,0.269241683811808,0.362,210,0.918,0.672
"Pt78","run079",-0.0162030391739699,603,612,0.496296296296296,0.503703703703704,145,136,0.345238095238095,0.323809523809524,0.3812,0.284630149566561,0.357,210,0.949,0.797,0.3292,0.217725901175587,0.424,210,0.92,0.678
"Pt79","run080",0.126696445166618,653,562,0.537448559670782,0.462551440329218,151,135,0.35952380952381,0.321428571428571,0.424,0.286945679738128,0.367,210,0.955,0.822,0.3474,0.246040920673587,0.41,210,0.934,0.737
"Pt80","run081",0.0693907008701744,628,587,0.516872427983539,0.483127572016461,143,146,0.34047619047619,0.347619047619048,0.3773,0.268988599797202,0.381,210,0.95,0.798,0.4084,0.250196903983433,0.381,210,0.956,0.824
"Pt81","run082",0.0702326232587046,698,517,0.574485596707819,0.425514403292181,138,150,0.328571428571429,0.357142857142857,0.3571,0.241389872243621,0.414,210,0.959,0.835,0.3799,0.287104380076025,0.348,210,0.919,0.674
"Pt82","run083",0.129699925150866,563,652,0.463374485596708,0.536625514403292,145,146,0.345238095238095,0.347619047619048,0.4091,0.27742263862508,0.381,210,0.975,0.9,0.361,0.273622726404157,0.367,210,0.944,0.776
"Pt83","run084",0.059728817815051,513,702,0.422222222222222,0.577777777777778,141,143,0.335714285714286,0.34047619047619,0.2864,0.243590756447391,0.39,210,0.904,0.615,0.4331,0.285822088645006,0.386,210,0.975,0.898
"Pt84","run085",0.167590618190036,628,587,0.516872427983539,0.483127572016461,138,147,0.328571428571429,0.35,0.3526,0.264501447842608,0.395,210,0.951,0.804,0.3896,0.268292874914178,0.367,210,0.928,0.713
"Pt85","run086",0.0780747412766922,653,562,0.537448559670782,0.462551440329218,142,139,0.338095238095238,0.330952380952381,0.4013,0.271341495729392,0.386,210,0.95,0.8,0.35,0.24905786704564,0.395,210,0.924,0.695
"Pt86","run087",-0.00439986355712745,592,623,0.487242798353909,0.512757201646091,128,154,0.304761904761905,0.366666666666667,0.3305,0.243776078945289,0.443,210,0.956,0.825,0.4331,0.289847691352954,0.338,210,0.945,0.78
"Pt87","run088",0.182372928504116,547,668,0.450205761316872,0.549794238683128,143,148,0.34047619047619,0.352380952380952,0.4006,0.271877270471942,0.376,210,0.951,0.802,0.3792,0.293832179215335,0.352,210,0.937,0.747
"Pt88","run089",-0.0406077473220248,679,536,0.558847736625514,0.441152263374486,141,139,0.335714285714286,0.330952380952381,0.3481,0.261741240768928,0.405,210,0.955,0.822,0.3578,0.251671546265975,0.395,210,0.936,0.745
"Pt89","run090",0.0537631052498605,584,631,0.480658436213992,0.519341563786008,142,145,0.338095238095238,0.345238095238095,0.3948,0.267754174116915,0.376,210,0.957,0.827,0.3558,0.274468925904741,0.367,210,0.921,0.683
"Pt90","run091",0.11977305722285,570,645,0.469135802469136,0.530864197530864,148,135,0.352380952380952,0.321428571428571,0.4461,0.292583670194987,0.348,210,0.961,0.846,0.337,0.229339182351486,0.424,210,0.917,0.669
"Pt91","run092",0.196664093384912,620,595,0.510288065843621,0.489711934156379,142,148,0.338095238095238,0.352380952380952,0.3844,0.25270929957064,0.395,210,0.928,0.713,0.3968,0.284332956578587,0.371,210,0.969,0.877
"Pt92","run093",0.0988630222004053,669,546,0.550617283950617,0.449382716049383,154,128,0.366666666666667,0.304761904761905,0.374,0.278089993604677,0.357,210,0.94,0.759,0.3279,0.252310080589395,0.424,210,0.94,0.758
"Pt93","run094",0.0977921552962726,524,691,0.431275720164609,0.568724279835391,142,141,0.338095238095238,0.335714285714286,0.374,0.256513685845721,0.395,210,0.968,0.872,0.3305,0.270385543743309,0.386,210,0.935,0.74
"Pt94","run095",0.08694945366339,572,643,0.470781893004115,0.529218106995885,148,136,0.352380952380952,0.323809523809524,0.3974,0.28226741872743,0.357,210,0.949,0.798,0.3331,0.236676221998189,0.438,210,0.959,0.835
"Pt95","run096",0.0383332553489184,536,679,0.441152263374486,0.558847736625514,126,147,0.3,0.35,0.3409,0.213718168409285,0.448,210,0.931,0.726,0.4292,0.308085248565007,0.362,210,0.97,0.88
"Pt96","run097",0.0406032334151876,672,543,0.553086419753086,0.446913580246914,145,140,0.345238095238095,0.333333333333333,0.3955,0.26925686262001,0.376,210,0.933,0.732,0.3539,0.25682756159504,0.4,210,0.95,0.799
"Pt97","run098",0.141543691909147,590,625,0.48559670781893,0.51440329218107,140,153,0.333333333333333,0.364285714285714,0.3565,0.256104654923339,0.395,210,0.945,0.78,0.4312,0.291145523225773,0.343,210,0.961,0.845
"Pt98","run099",0.160484508249119,630,585,0.518518518518518,0.481481481481481,141,150,0.335714285714286,0.357142857142857,0.3584,0.266212414449428,0.386,210,0.945,0.779,0.4123,0.295905909232306,0.348,210,0.96,0.84
"Pt99","run100",0.153066139760211,632,583,0.520164609053498,0.479835390946502,144,149,0.342857142857143,0.354761904761905,0.376,0.276749775715019,0.362,210,0.936,0.745,0.3597,0.267666578944886,0.371,210,0.95,0.802
