"","run.code","focus.Rcrowd","position.Rcrowd","strategy.Rcrowd","focus.Rdisp","position.Rdisp","strategy.Rdisp"
"51","run051",0.548542919401074,0.488733685637836,"downward.heuristic",0.322336438434202,0.374952093268128,"downward.heuristic"
"52","run052",0.374627870877477,0.492074214244989,"pure.bully",0.305063684654243,0.435976645489238,"downward.heuristic"
"53","run053",0.393341318669321,0.402403528021099,"downward.heuristic",0.518315943775979,0.471107009169488,"pure.bully"
"54","run054",0.520874602145997,0.413060366635061,"downward.heuristic",0.294901430574466,0.519555982484174,"pure.bully"
"55","run055",0.470755678799635,0.386200641528556,"downward.heuristic",0.216444647228436,0.381488801583797,"downward.heuristic"
"56","run056",0.39611804863044,0.485520368307626,"pure.bully",0.418721607953683,0.368584133334447,"downward.heuristic"
"57","run057",0.517884178239025,0.431257485163271,"pure.bully",0.385927282822895,0.404659167599353,"pure.bully"
"58","run058",0.490809284317664,0.401281773946213,"pure.bully",0.46750639015392,0.59601037624938,"pure.bully"
"59","run059",0.371016697589794,0.452819401250384,"pure.bully",0.39568049720022,0.333730379971726,"downward.heuristic"
"60","run060",0.447003582993557,0.460591631348291,"downward.heuristic",0.372357971668215,0.404320083934833,"downward.heuristic"
"61","run061",0.376103945738261,0.480828627282088,"pure.bully",0.443267173786075,0.431922525696949,"downward.heuristic"
"62","run062",0.308718019561439,0.421781929116617,"pure.bully",0.578829119279314,0.427174627953212,"downward.heuristic"
"63","run063",0.347693474460664,0.325787201875426,"downward.heuristic",0.453068920661884,0.480297548779272,"pure.bully"
"64","run064",0.487963034496515,0.461786248266067,"pure.bully",0.442958031240906,0.591091982269729,"pure.bully"
"65","run065",0.449400810763641,0.438401922580124,"pure.bully",0.4067798830703,0.406758697106732,"downward.heuristic"
"66","run066",0.363218425121813,0.469984614389639,"pure.bully",0.538065676437531,0.338082290089748,"downward.heuristic"
"67","run067",0.500318147391508,0.394400158525628,"downward.heuristic",0.381293611719422,0.405924712304366,"downward.heuristic"
"68","run068",0.490621144959498,0.493654993470785,"pure.bully",0.350165330848262,0.380767917107953,"downward.heuristic"
"69","run069",0.559347061271628,0.45751166169503,"downward.heuristic",0.283831317364487,0.395770304952862,"downward.heuristic"
"70","run070",0.411729756998168,0.435112420816378,"pure.bully",0.355381034163345,0.389295291011593,"downward.heuristic"
"71","run071",0.452604893050493,0.40890874281147,"downward.heuristic",0.368280317228788,0.449056372605715,"pure.bully"
"72","run072",0.43064268118848,0.440550005428384,"pure.bully",0.390630567269089,0.430741237322868,"downward.heuristic"
"73","run073",0.457284366315173,0.417755584643143,"downward.heuristic",0.379243095947878,0.602251177607882,"pure.bully"
"74","run074",0.417705148944558,0.483774848923014,"pure.bully",0.481969725782742,0.410358176780923,"downward.heuristic"
