"","run.code","run.cor","n.Rcrowd","n.Rdisplace","prop.Rcrowd","prop.Rdisplace","n.Rcrowd.dyads","n.Rdisplace.dyads","Rcrowd.density","Rdisplace.density","Rcrowd.linearity","Rcrowd.steepness","Rcrowd.prunk.pu","Rcrowd.prunk.dyads","Rcrowd.transi.Pt","Rcrowd.transi.ttri","Rdisp.linearity","Rdisp.steepness","Rdisp.prunk.pu","Rdisp.prunk.dyads","Rdisp.transi.Pt","Rdisp.transi.ttri"
"Pt44","run045",0.0537653483958417,45,67,0.401785714285714,0.598214285714286,33,36,0.0785714285714286,0.0857142857142857,0.1455,0.0258297258297258,0.848,210,1,1,0.1487,0.0419372294372295,0.833,210,1,1
"Pt45","run046",0.202427562794303,67,45,0.598214285714286,0.401785714285714,37,31,0.0880952380952381,0.0738095238095238,0.1487,0.0385755514326944,0.829,210,0.944,0.778,0.1506,0.0311353329210471,0.862,210,1,1
"Pt46","run047",0.21416955048793,60,52,0.535714285714286,0.464285714285714,34,31,0.080952380952381,0.0738095238095238,0.1519,0.0341396103896103,0.843,210,1,1,0.1442,0.0276829519686662,0.852,210,0.818,0.273
"Pt47","run048",0.151925969172651,60,52,0.535714285714286,0.464285714285714,37,29,0.0880952380952381,0.0690476190476191,0.15,0.0426188267514798,0.824,210,0.947,0.789,0.1448,0.0233089709713087,0.871,210,0.889,0.556
"Pt48","run049",-0.147824572641723,55,57,0.491071428571429,0.508928571428571,29,34,0.0690476190476191,0.080952380952381,0.1448,0.0253439587623261,0.867,210,0.875,0.5,0.1487,0.0306725417439703,0.843,210,0.818,0.273
"Pt49","run050",-0.0278549140607043,50,62,0.446428571428571,0.553571428571429,31,37,0.0738095238095238,0.0880952380952381,0.1487,0.0338327149041436,0.857,210,1,1,0.1442,0.0334260977118119,0.829,210,0.917,0.667
"Pt50","run051",-0.170676284301947,48,64,0.428571428571429,0.571428571428571,28,39,0.0666666666666667,0.0928571428571429,0.1474,0.0291847041847042,0.867,210,1,1,0.1565,0.0334802102659247,0.829,210,0.933,0.733
"Pt51","run052",-0.157483339561653,47,65,0.419642857142857,0.580357142857143,27,37,0.0642857142857143,0.0880952380952381,0.1461,0.0278184910327766,0.871,210,0.909,0.636,0.1571,0.0354856543168232,0.833,210,1,1
"Pt52","run053",-0.205680152868377,54,58,0.482142857142857,0.517857142857143,30,35,0.0714285714285714,0.0833333333333333,0.1435,0.0268459318459317,0.862,210,0.778,0.111,0.1435,0.0289474522591407,0.838,210,1,1
"Pt53","run054",0.0734181043891434,52,60,0.464285714285714,0.535714285714286,33,38,0.0785714285714286,0.0904761904761905,0.1468,0.0318083900226758,0.848,210,0.9,0.6,0.1617,0.0370372088229233,0.824,210,0.923,0.692
"Pt54","run055",0.0721499746812508,52,60,0.464285714285714,0.535714285714286,26,43,0.0619047619047619,0.102380952380952,0.1435,0.0227081308713962,0.89,210,1,1,0.1695,0.0418158258974587,0.795,210,0.917,0.667
