"","run.code","run.cor","n.Rcrowd","n.Rdisplace","prop.Rcrowd","prop.Rdisplace","n.Rcrowd.dyads","n.Rdisplace.dyads","Rcrowd.density","Rdisplace.density","Rcrowd.linearity","Rcrowd.steepness","Rcrowd.prunk.pu","Rcrowd.prunk.dyads","Rcrowd.transi.Pt","Rcrowd.transi.ttri","Rdisp.linearity","Rdisp.steepness","Rdisp.prunk.pu","Rdisp.prunk.dyads","Rdisp.transi.Pt","Rdisp.transi.ttri"
"Pt14","run015",0.379422092233673,56,56,0.5,0.5,38,33,0.0904761904761905,0.0785714285714286,0.1461,0.033915687487116,0.829,210,0.95,0.8,0.1481,0.0309322820037105,0.848,210,0.9,0.6
"Pt15","run016",0.283763455131284,56,56,0.5,0.5,38,39,0.0904761904761905,0.0928571428571429,0.1461,0.033915687487116,0.829,210,0.95,0.8,0.1539,0.0409839895554182,0.819,210,1,1
"Pt16","run017",0.431469776923687,56,56,0.5,0.5,38,35,0.0904761904761905,0.0833333333333333,0.1461,0.033915687487116,0.829,210,0.95,0.8,0.1578,0.0357358838852344,0.838,210,1,1
"Pt17","run018",0.434753141107936,56,56,0.5,0.5,38,38,0.0904761904761905,0.0904761904761905,0.1461,0.033915687487116,0.829,210,0.95,0.8,0.1513,0.0314726345083488,0.824,210,1,1
"Pt18","run019",0.487145670665774,56,56,0.5,0.5,38,29,0.0904761904761905,0.0690476190476191,0.1461,0.033915687487116,0.829,210,0.95,0.8,0.1435,0.0254839208410638,0.867,210,1,1
"Pt19","run020",0.39410167763143,56,56,0.5,0.5,38,35,0.0904761904761905,0.0833333333333333,0.1461,0.033915687487116,0.829,210,0.95,0.8,0.1675,0.0395846217274789,0.833,210,1,1
"Pt20","run021",0.144944770664325,56,56,0.5,0.5,38,33,0.0904761904761905,0.0785714285714286,0.1461,0.033915687487116,0.829,210,0.95,0.8,0.1558,0.0411777394940661,0.843,210,1,1
"Pt21","run022",0.532494786461737,56,56,0.5,0.5,38,39,0.0904761904761905,0.0928571428571429,0.1461,0.033915687487116,0.829,210,0.95,0.8,0.1591,0.0385054627911771,0.824,210,1,1
"Pt22","run023",0.318299645083048,56,56,0.5,0.5,38,29,0.0904761904761905,0.0690476190476191,0.1461,0.033915687487116,0.829,210,0.95,0.8,0.1409,0.0342057602261684,0.862,210,1,1
"Pt23","run024",0.315658832722479,56,56,0.5,0.5,38,34,0.0904761904761905,0.080952380952381,0.1461,0.033915687487116,0.829,210,0.95,0.8,0.1669,0.0323000412286126,0.838,210,1,1
"Pt24","run025",0.266083436354989,56,56,0.5,0.5,38,38,0.0904761904761905,0.0904761904761905,0.1461,0.033915687487116,0.829,210,0.95,0.8,0.1636,0.0386105957534531,0.819,210,0.895,0.579
"Pt25","run026",0.123523437178227,56,56,0.5,0.5,38,40,0.0904761904761905,0.0952380952380952,0.1461,0.033915687487116,0.829,210,0.95,0.8,0.1825,0.0383039579468151,0.814,210,0.96,0.84
"Pt26","run027",0.183198613825458,56,56,0.5,0.5,38,37,0.0904761904761905,0.0880952380952381,0.1461,0.033915687487116,0.829,210,0.95,0.8,0.1682,0.0321494831698914,0.833,210,1,1
