"","run.code","run.cor","n.Rcrowd","n.Rdisplace","prop.Rcrowd","prop.Rdisplace","n.Rcrowd.dyads","n.Rdisplace.dyads","Rcrowd.density","Rdisplace.density","Rcrowd.linearity","Rcrowd.steepness","Rcrowd.prunk.pu","Rcrowd.prunk.dyads","Rcrowd.transi.Pt","Rcrowd.transi.ttri","Rdisp.linearity","Rdisp.steepness","Rdisp.prunk.pu","Rdisp.prunk.dyads","Rdisp.transi.Pt","Rdisp.transi.ttri"
"Pt44","run045",0.462010227113393,160,160,0.5,0.5,84,75,0.2,0.178571428571429,0.2526,0.0997335350530839,0.629,210,0.966,0.865,0.2649,0.103945816946745,0.657,210,0.987,0.947
"Pt45","run046",0.475509787069295,160,160,0.5,0.5,84,79,0.2,0.188095238095238,0.2526,0.0997335350530839,0.629,210,0.966,0.865,0.224,0.11506402894158,0.638,210,0.966,0.865
"Pt46","run047",0.421505485636624,160,160,0.5,0.5,84,77,0.2,0.183333333333333,0.2526,0.0997335350530839,0.629,210,0.966,0.865,0.2578,0.0894971336297868,0.657,210,0.987,0.947
"Pt47","run048",0.551042050761555,160,160,0.5,0.5,84,80,0.2,0.19047619047619,0.2526,0.0997335350530839,0.629,210,0.966,0.865,0.211,0.105562107960067,0.652,210,0.957,0.829
"Pt48","run049",0.47296751238064,160,160,0.5,0.5,84,82,0.2,0.195238095238095,0.2526,0.0997335350530839,0.629,210,0.966,0.865,0.2292,0.105822289954943,0.633,210,0.927,0.708
"Pt49","run050",0.503968500302706,160,160,0.5,0.5,84,77,0.2,0.183333333333333,0.2526,0.0997335350530839,0.629,210,0.966,0.865,0.2247,0.0892241658568189,0.667,210,0.982,0.927
"Pt50","run051",0.551670918357839,160,160,0.5,0.5,84,78,0.2,0.185714285714286,0.2526,0.0997335350530839,0.629,210,0.966,0.865,0.2292,0.102017892950175,0.657,210,0.97,0.879
"Pt51","run052",0.567634495136302,160,160,0.5,0.5,84,76,0.2,0.180952380952381,0.2526,0.0997335350530839,0.629,210,0.966,0.865,0.2416,0.104944798432193,0.657,210,0.988,0.953
"Pt52","run053",0.567722984103325,160,160,0.5,0.5,84,81,0.2,0.192857142857143,0.2526,0.0997335350530839,0.629,210,0.966,0.865,0.2156,0.107624274818152,0.633,210,0.932,0.727
"Pt53","run054",0.622235086278231,160,160,0.5,0.5,84,78,0.2,0.185714285714286,0.2526,0.0997335350530839,0.629,210,0.966,0.865,0.2494,0.0937830197013873,0.648,210,0.986,0.943
"Pt54","run055",0.519635303912676,160,160,0.5,0.5,84,75,0.2,0.178571428571429,0.2526,0.0997335350530839,0.629,210,0.966,0.865,0.2143,0.0933250385291202,0.657,210,0.926,0.706
"Pt55","run056",0.550091566143868,160,160,0.5,0.5,84,76,0.2,0.180952380952381,0.2526,0.0997335350530839,0.629,210,0.966,0.865,0.2227,0.0993483578710851,0.652,210,0.926,0.704
"Pt56","run057",0.507558556923536,160,160,0.5,0.5,84,74,0.2,0.176190476190476,0.2526,0.0997335350530839,0.629,210,0.966,0.865,0.2357,0.100248721422191,0.667,210,0.985,0.94
"Pt57","run058",0.594865716028618,160,160,0.5,0.5,84,77,0.2,0.183333333333333,0.2526,0.0997335350530839,0.629,210,0.966,0.865,0.224,0.102430640890752,0.667,210,0.975,0.9
"Pt58","run059",0.430267063254724,160,160,0.5,0.5,84,79,0.2,0.188095238095238,0.2526,0.0997335350530839,0.629,210,0.966,0.865,0.2117,0.110067483536871,0.643,210,0.973,0.893
"Pt59","run060",0.403540761285923,160,160,0.5,0.5,84,71,0.2,0.169047619047619,0.2526,0.0997335350530839,0.629,210,0.966,0.865,0.2026,0.0918890434961864,0.681,210,0.954,0.815
"Pt60","run061",0.558057586284778,160,160,0.5,0.5,84,79,0.2,0.188095238095238,0.2526,0.0997335350530839,0.629,210,0.966,0.865,0.2351,0.0976780192596518,0.648,210,0.985,0.94
"Pt61","run062",0.550531434641244,160,160,0.5,0.5,84,80,0.2,0.19047619047619,0.2526,0.0997335350530839,0.629,210,0.966,0.865,0.2448,0.105034769652117,0.638,210,0.946,0.785
"Pt62","run063",0.571979726604426,160,160,0.5,0.5,84,82,0.2,0.195238095238095,0.2526,0.0997335350530839,0.629,210,0.966,0.865,0.2325,0.108150682547714,0.629,210,0.976,0.905
"Pt63","run064",0.441849918570693,160,160,0.5,0.5,84,79,0.2,0.188095238095238,0.2526,0.0997335350530839,0.629,210,0.966,0.865,0.2195,0.102963306534735,0.648,210,0.94,0.759
"Pt64","run065",0.379190207129823,160,160,0.5,0.5,84,77,0.2,0.183333333333333,0.2526,0.0997335350530839,0.629,210,0.966,0.865,0.2338,0.113005565862709,0.648,210,0.968,0.871
"Pt65","run066",0.506818397173091,160,160,0.5,0.5,84,74,0.2,0.176190476190476,0.2526,0.0997335350530839,0.629,210,0.966,0.865,0.2513,0.0919957102610164,0.667,210,0.984,0.937
"Pt66","run067",0.508743508589139,160,160,0.5,0.5,84,81,0.2,0.192857142857143,0.2526,0.0997335350530839,0.629,210,0.966,0.865,0.2545,0.103229246703273,0.624,210,0.944,0.775
"Pt67","run068",0.538118029089848,160,160,0.5,0.5,84,84,0.2,0.2,0.2526,0.0997335350530839,0.629,210,0.966,0.865,0.2675,0.108671039844509,0.633,210,1,1
"Pt68","run069",0.545777279618211,160,160,0.5,0.5,84,85,0.2,0.202380952380952,0.2526,0.0997335350530839,0.629,210,0.966,0.865,0.2656,0.111241453652168,0.61,210,0.969,0.878
"Pt69","run070",0.539452222332433,160,160,0.5,0.5,84,84,0.2,0.2,0.2526,0.0997335350530839,0.629,210,0.966,0.865,0.289,0.106604308390023,0.619,210,0.953,0.812
"Pt70","run071",0.485650347671909,160,160,0.5,0.5,84,73,0.2,0.173809523809524,0.2526,0.0997335350530839,0.629,210,0.966,0.865,0.2325,0.09969812912299,0.671,210,0.972,0.889
